,구별,공원명,공원주소,공원면적,위도,경도
105,도봉구,초안산생태공원,서울특별시 도봉구 창1동 산157 초안산생태공원,22113.0,37.6481864,127.0455709
106,구로구,푸른수목원,서울특별시 구로구 항동 96-4 푸른수목원,0.0,37.48398359999999,126.8255942
107,은평구,서오능도시자연공원,서울특별시 은평구 구파발동 갈현동 진관내동,1082847.0,37.637482299999995,126.91343379999999
108,강서구,개화근린공원,서울특별시 강서구 개화동 산17,386500.0,37.581391700000005,126.8068278
109,광진구,아차산생태공원,서울특별시 광진구 광장동 370 아차산 생태공원,23450.0,37.5518658,127.1007676
110,내곡동,인능산도시자연공원,서울특별시 내곡동 산1-1419 인능산제2도시자연공원,2400833.0,37.4801176,127.0753916
111,개포동,구룡산,서울특별시 개포동 구룡산,2752421.0,37.4691667,127.0572222
112,서초구,우면산도시자연공원,서울특별시 서초구 우면동 우면산자연생태공원,4180551.0,37.4673811,127.0190515
113,은평구,향림근린공원,서울특별시 은평구 진관동 산55,147859.0,37.6293824,126.9240693
114,은평구,신사근린공원,서울특별시 은평구 신사동 신사근린공원,111650.0,37.5925304,126.9101976
115,중구,문화역 서울284,서울특별시 중구 봉래동2가 통일로 1,0.0,37.5558351,126.971732
116,강남구,광평근린공원,서울특별시 강남구 수서동 산10-1,519782.0,37.4880445,127.092184
117,강남구,청담근린공원,서울특별시 강남구 청담동 66 청담공원,59347.0,37.5212917,127.0526024
118,강동구,허브천문공원,서울특별시 강동구 둔촌동 허브천문공원,25500.0,37.5373471,127.1544254
119,은평구,연신내물빛공원,서울특별시 은평구 갈현동 397 물빛공원,2560.0,37.6189996,126.9207236
120,중구,나들이근린공원,서울특별시 중구 망우동 산 30-7 일대,32000.0,37.6054218,127.11326100000001
121,종로구,숭인근린공원,서울특별시 종로구 숭인동 산5-7 숭인근린공원,45615.0,37.5765343,127.0176598
122,중랑구,서일대뒷산공원,서울특별시 중랑구 면목3.8동 용마산로90길 28,631021.0,37.5866169,127.0977437
123,광진구,용마도시자연공원(사가정공원),서울특별시 광진구 중곡동 143-146 용마도시자연공원,109635.0,37.5623708,127.0962081
124,마포구,문화비축기지,서울특별시 마포구 성산동 증산로 87 문화비축기지,140022.0,37.5709869,126.894132
125,노원구,경춘선숲길,서울특별시 노원구 월계2동 276-40 경춘선숲길,211392.0,37.6305497,127.0630492
126,강남구,율현공원,서울특별시 강남구 율현동 77-9 율현공원,157535.0,37.4723787,127.1156833
127,중구,서울로7017,서울특별시 중구 회현동 퇴계로 18 서울로7017,0.0,37.5565067,126.9737554
